"type","name","",""
"antigen","BA.1","0.31099500709942","-2.60504268303198"
"antigen","BA.2","0.539840448313","-2.10788746539242"
"antigen","BA.2.12.1","0.235708036862296","-1.74440380366266"
"antigen","BA.2.75","0.219090864523652","-2.59995183530039"
"antigen","BA.2.86","-2.20041104006367","-5.04151409280336"
"antigen","BA.5","-0.0547172064306355","-0.528836404214986"
"antigen","BQ.1","-1.68779257765317","-0.720898661267464"
"antigen","BQ.1.1","-1.00568103790357","-0.293057930764747"
"antigen","CH.1.1","-4.20678009553924","-1.2825325916016"
"antigen","EG.5","-2.26509527666094","-5.17475071125344"
"antigen","HV.1","-4.1007792490599","1.35056710951385"
"antigen","JN.1","-5.16215148031244","-2.34949116086535"
"antigen","R1-1_0","3.34557026730215","0.859675630433946"
"antigen","R1-1_1","3.5419454047364","-1.20136807499162"
"antigen","R1-1_11","3.29673424699143","0.206747612615203"
"antigen","R1-1_12","3.66456942028979","0.500921856200702"
"antigen","R1-1_13","3.64738876244654","0.0774380125598095"
"antigen","R1-1_2","3.99725527278266","0.13688558597188"
"antigen","R1-1_3","3.34618956784439","0.71470315635913"
"antigen","R1-1_5","3.73898512526762","-0.674586492648029"
"antigen","R1-1_8","3.38400428917101","-0.0280411822576716"
"antigen","R1-1_9","3.60096618387304","0.0023599151514595"
"antigen","R1-2_0","3.57082311225826","-1.1271673076459"
"antigen","R1-2_1","3.55764556930092","-0.870884006638643"
"antigen","R1-2_2","3.53738672600107","-0.986608450809894"
"antigen","R1-2_3","3.54151288460452","-1.05743573201693"
"antigen","R1-2_4","3.66972037421817","0.0380830350232346"
"antigen","R1-2_5","3.39602108671374","0.00442053631623751"
"antigen","R2-1_10","-0.137433327978594","0.669810425226159"
"antigen","R2-1_11","-0.712450902927664","-0.987739545624082"
"antigen","R2-1_12","-0.841215374535978","0.105852087881222"
"antigen","R2-1_13","-1.14604170352295","-1.05039148136149"
"antigen","R2-1_14","-0.733156904049395","0.116739043153676"
"antigen","R2-1_17","-0.953804177127333","-0.173558972183336"
"antigen","R2-1_5","-0.111549225146186","0.652461484156006"
"antigen","R2-1_7","0.176533273755844","0.639690424095514"
"antigen","R2-1_8","-0.0755728145832817","0.928527454810827"
"antigen","R2-1_9","-0.0652665115567422","-0.939982235157338"
"antigen","R2-2_0","0.347611244408712","0.490096096060313"
"antigen","R2-2_10","-0.282086163898923","-0.266803319703913"
"antigen","R2-2_11","-0.631361209936535","-0.516657958912552"
"antigen","R2-2_12","-0.29410807454798","-0.549706645019192"
"antigen","R2-2_13","-0.27468191932101","-1.59128103805753"
"antigen","R2-2_2","-0.474795193958943","-0.351400139723259"
"antigen","R2-2_3","1.64123576034186","1.11758252712814"
"antigen","R2-2_4","-0.634787179467532","-0.373911273762744"
"antigen","R2-2_5","1.86410368885111","0.947293542774277"
"antigen","R2-2_6","-0.262777659764678","-3.03593374197314"
"antigen","R2-3_0","-0.575315700026471","-4.18847638991872"
"antigen","R2-3_1","0.52240698449178","-2.27097975970458"
"antigen","R2-3_10","-0.391657629099834","-3.39614678362803"
"antigen","R2-3_11","-0.022095482473685","-3.72462253233423"
"antigen","R2-3_12","0.0913005717628107","-2.48924455827211"
"antigen","R2-3_13","-1.39549868824126","-3.65248689477958"
"antigen","R2-3_14","-0.25817933684107","-4.15807050074646"
"antigen","R2-3_15","0.318453997957794","-3.2879584398954"
"antigen","R2-3_2","-0.249557608344009","-4.77130418840463"
"antigen","R2-3_3","-0.213635369532037","-4.39278059469255"
"antigen","R2-3_4","-0.291175860882564","-3.51752515675207"
"antigen","R2-3_5","-1.23891726762109","-3.19800474003922"
"antigen","R2-3_6","-0.515617934954992","-5.80196729835955"
"antigen","R2-3_7","-0.405080861537572","-5.43684607334832"
"antigen","R2-3_8","-1.27505388407791","-3.97962244193809"
"antigen","R2-3_9","-0.669664881665008","-3.26246812120203"
"antigen","R2-4_0","-4.20607307214017","1.45174257320952"
"antigen","R2-4_1","-4.55760532974446","0.521429306903817"
"antigen","R2-4_10","-3.75337849451702","2.56820591282941"
"antigen","R2-4_11","-3.87084400445438","2.59395964832982"
"antigen","R2-4_12","-3.96018606932391","2.30531400074144"
"antigen","R2-4_13","-4.03950504355587","2.55456163040941"
"antigen","R2-4_2","-4.27319452347755","-0.653550004075803"
